config,config_name,prompt,task,correct,flake8_total,flake8_ws,flake8_nonws,flake8_W291,flake8_W293,flake8_W391,flake8_E303,flake8_codes,raw_loc,lloc,sloc,comments,blank,radon_raw_ok,bandit_loc,cc_mean,cc_max,cc_blocks,radon_cc_ok,style_per100_lloc,style_per100_sloc,style_nonws_per100_lloc,bandit_total,bandit_high,bandit_medium,bandit_low,bandit_undef,bandit_conf_high,bandit_conf_medium,bandit_conf_low,bandit_tests,semgrep_total,semgrep_error,semgrep_warning,semgrep_info,semgrep_rules,stored_lint_issues,stored_security_issues,stored_complexity_avg,stored_lint_score,stored_security_score,stored_complexity_score
gpt4omini-std,GPT-4o-mini,std,task040,1,1,1,0,0,1,0,0,W293:1,25,11,21,1,3,1,21,4.0,4,1,1,9.0909,4.7619,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task041,0,5,4,1,0,4,0,0,E302:1;W293:4,24,18,17,3,6,1,17,4.0,4,2,1,27.7778,29.4118,5.5556,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task042,1,1,1,0,0,1,0,0,W293:1,21,16,16,0,5,1,16,8.0,8,1,1,6.25,6.25,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task043,1,0,0,0,0,0,0,0,,28,15,19,10,5,1,19,7.0,7,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task044,1,3,2,1,0,2,0,0,E302:1;W293:2,20,16,15,1,4,1,15,3.5,5,2,1,18.75,20.0,6.25,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task045,1,4,4,0,0,4,0,0,W293:4,22,11,11,6,5,1,11,5.0,5,1,1,36.3636,36.3636,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task046,1,3,2,1,0,2,0,0,E302:1;W293:2,27,15,22,1,4,1,22,4.0,4,1,1,20.0,13.6364,6.6667,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task047,0,4,4,0,0,4,0,0,W293:4,26,10,16,5,5,1,16,9.0,9,1,1,40.0,25.0,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task048,1,3,2,1,0,2,0,0,E302:1;W293:2,21,10,16,1,4,1,16,5.0,5,1,1,30.0,18.75,10.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task049,0,3,3,0,0,3,0,0,W293:3,14,7,6,4,4,1,6,2.0,2,1,1,42.8571,50.0,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task05,1,6,4,2,0,4,0,0,E302:1;F401:1;W293:4,20,9,9,5,6,1,9,2.0,2,1,1,66.6667,66.6667,22.2222,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task050,1,3,3,0,0,3,0,0,W293:3,16,10,9,3,4,1,9,5.0,5,1,1,30.0,33.3333,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task051,1,1,1,0,0,1,0,0,W293:1,25,15,15,4,6,1,15,6.0,6,1,1,6.6667,6.6667,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task052,1,0,0,0,0,0,0,0,,23,14,14,4,6,1,14,6.0,6,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task053,1,0,0,0,0,0,0,0,,9,7,6,1,1,1,7,3.0,3,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task054,1,2,1,1,0,1,0,0,E302:1;W293:1,20,11,11,5,4,1,11,5.0,5,1,1,18.1818,18.1818,9.0909,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task055,1,3,2,1,0,2,0,0,E302:1;W293:2,17,11,11,3,3,1,11,2.0,2,1,1,27.2727,27.2727,9.0909,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task056,1,6,6,0,0,6,0,0,W293:6,33,24,23,3,7,1,23,10.0,10,1,1,25.0,26.087,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task057,1,3,2,1,0,2,0,0,E302:1;W293:2,15,12,12,0,3,1,12,3.0,3,1,1,25.0,25.0,8.3333,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task058,1,4,3,1,0,3,0,0,E302:1;W293:3,16,12,12,0,4,1,12,4.0,4,1,1,33.3333,33.3333,8.3333,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task059,1,2,2,0,0,2,0,0,W293:2,13,10,9,1,3,1,9,4.0,4,1,1,20.0,22.2222,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task06,1,4,3,1,0,3,0,0,E302:1;W293:3,21,17,17,0,4,1,17,5.0,5,1,1,23.5294,23.5294,5.8824,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task060,1,3,0,3,0,0,0,0,E302:1;F401:1;F841:1,43,29,29,7,7,1,29,4.0,4,1,1,10.3448,10.3448,10.3448,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task061,1,4,3,1,0,3,0,0,E302:1;W293:3,17,13,13,0,4,1,13,6.0,6,1,1,30.7692,30.7692,7.6923,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task062,1,1,0,1,0,0,0,0,E302:1,18,15,14,1,3,1,14,6.0,6,1,1,6.6667,7.1429,6.6667,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task063,1,4,3,1,0,3,0,0,E302:1;W293:3,15,10,10,1,4,1,10,3.0,3,1,1,40.0,40.0,10.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task064,1,2,1,1,0,1,0,0,E302:1;W293:1,9,7,7,0,2,1,7,3.0,3,1,1,28.5714,28.5714,14.2857,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task065,1,2,0,2,0,0,0,0,E302:2,12,10,8,0,2,1,10,1.5,2,2,1,20.0,25.0,20.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task066,1,1,1,0,0,1,0,0,W293:1,8,5,5,1,2,1,5,3.0,3,1,1,20.0,20.0,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task067,1,4,3,1,0,3,0,0,E302:1;W293:3,14,8,8,2,4,1,8,2.0,2,1,1,50.0,50.0,12.5,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task068,1,2,1,1,0,1,0,0,E302:1;W293:1,10,6,5,2,2,1,6,1.0,1,1,1,33.3333,40.0,16.6667,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task069,1,8,7,1,0,7,0,0,E302:1;W293:7,36,21,21,7,8,1,21,6.0,6,1,1,38.0952,38.0952,4.7619,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task07,1,1,0,1,0,0,0,0,E302:1,12,10,10,0,2,1,10,1.0,1,1,1,10.0,10.0,10.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task070,0,2,0,2,0,0,0,0,E302:2,42,31,31,5,10,1,31,1.5,2,10,1,6.4516,6.4516,6.4516,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task071,0,5,2,3,0,2,0,0,E302:3;W293:2,55,23,45,3,7,1,45,4.6667,7,3,1,21.7391,11.1111,13.0435,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task072,1,0,0,0,0,0,0,0,,35,18,24,5,6,1,24,8.0,8,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task073,1,3,2,1,0,2,0,0,E302:1;W293:2,31,20,20,5,6,1,20,10.0,10,1,1,15.0,15.0,5.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task074,0,2,0,2,0,0,0,0,E302:1;E501:1,29,17,18,6,5,1,18,12.0,12,1,1,11.7647,11.1111,11.7647,1,0,1,0,0,0,0,1,B608:1,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task075,1,1,0,1,0,0,0,0,E302:1,36,29,29,0,7,1,29,1.5,2,8,1,3.4483,3.4483,3.4483,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task077,1,5,2,3,0,2,0,0,E302:1;E501:2;W293:2,46,26,26,11,10,1,26,12.0,12,1,1,19.2308,19.2308,11.5385,2,0,2,0,0,0,2,0,B608:2,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task078,1,1,0,1,0,0,0,0,E501:1,25,20,20,1,4,1,20,3.4,5,5,1,5.0,5.0,5.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task079,1,4,4,0,0,4,0,0,W293:4,29,15,21,3,5,1,21,7.0,7,1,1,26.6667,19.0476,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task08,0,9,7,2,0,7,0,0,E302:1;E501:1;W293:7,37,20,20,9,9,1,20,15.0,15,1,1,45.0,45.0,10.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task080,0,3,1,2,1,0,0,0,E302:1;F541:1;W291:1,31,23,24,2,5,1,24,12.0,12,1,1,13.0435,12.5,8.6957,1,0,1,0,0,0,1,0,B608:1,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task081,1,0,0,0,0,0,0,0,,19,13,13,2,4,1,13,12.0,12,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task082,0,0,0,0,0,0,0,0,,14,12,12,1,1,1,12,7.0,7,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task083,0,3,2,1,0,2,0,0,E302:1;W293:2,20,17,17,0,3,1,17,3.0,3,1,1,17.6471,17.6471,5.8824,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task084,1,0,0,0,0,0,0,0,,16,13,13,1,2,1,13,7.0,7,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task085,1,4,3,1,0,3,0,0,E302:1;W293:3,19,13,13,1,5,1,13,5.0,5,1,1,30.7692,30.7692,7.6923,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task086,0,2,2,0,0,2,0,0,W293:2,39,36,34,1,4,1,34,15.0,15,1,1,5.5556,5.8824,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task087,1,2,2,0,0,2,0,0,W293:2,18,11,11,4,3,1,11,4.0,4,1,1,18.1818,18.1818,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task088,1,3,3,0,0,3,0,0,W293:3,35,20,20,10,7,1,20,8.0,8,1,1,15.0,15.0,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task089,1,4,3,1,0,3,0,0,E302:1;W293:3,19,13,13,2,5,1,13,5.0,5,1,1,30.7692,30.7692,7.6923,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task09,1,4,3,1,0,3,0,0,E302:1;W293:3,17,9,7,5,5,1,7,1.0,1,1,1,44.4444,57.1429,11.1111,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task090,1,3,3,0,0,3,0,0,W293:3,33,8,26,3,4,1,26,2.0,2,1,1,37.5,11.5385,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task091,1,1,0,1,0,0,0,0,E302:1,24,18,18,1,5,1,18,1.4,2,5,1,5.5556,5.5556,5.5556,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task092,1,3,2,1,0,2,0,0,E302:1;W293:2,19,13,13,1,5,1,13,1.0,1,1,1,23.0769,23.0769,7.6923,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task093,0,0,0,0,0,0,0,0,,21,16,16,1,4,1,16,2.4,3,5,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task094,0,3,2,1,0,2,0,0,E302:1;W293:2,35,19,27,2,6,1,27,7.0,7,1,1,15.7895,11.1111,5.2632,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task095,1,0,0,0,0,0,0,0,,22,15,15,1,6,1,15,5.0,5,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task096,1,2,2,0,0,2,0,0,W293:2,12,11,10,0,2,1,10,4.0,4,1,1,18.1818,20.0,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task097,1,3,3,0,0,3,0,0,W293:3,14,9,9,1,4,1,9,5.0,5,1,1,33.3333,33.3333,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task098,1,4,4,0,0,4,0,0,W293:4,21,15,15,1,5,1,15,8.0,8,1,1,26.6667,26.6667,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task099,1,4,4,0,0,4,0,0,W293:4,20,14,14,1,5,1,14,6.0,6,1,1,28.5714,28.5714,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task10,0,5,4,1,0,4,0,0,E302:1;W293:4,18,11,11,2,5,1,11,3.0,3,1,1,45.4545,45.4545,9.0909,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task100,1,4,4,0,0,4,0,0,W293:4,16,10,10,1,5,1,10,4.0,4,1,1,40.0,40.0,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task101,1,0,0,0,0,0,0,0,,13,9,9,1,3,1,9,2.0,3,3,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task102,1,0,0,0,0,0,0,0,,22,15,15,1,6,1,15,1.8571,3,7,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task103,1,0,0,0,0,0,0,0,,31,25,25,1,5,1,25,1.6667,3,6,1,0.0,0.0,0.0,1,0,1,0,0,0,0,1,B608:1,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task104,1,1,0,1,0,0,0,0,E302:1,35,28,26,1,8,1,26,2.1667,4,6,1,3.5714,3.8462,3.5714,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task105,0,1,0,1,0,0,0,0,E302:1,43,32,32,1,10,1,32,7.0,7,1,1,3.125,3.125,3.125,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task106,1,6,5,1,0,5,0,0,E501:1;W293:5,24,17,17,1,6,1,17,10.0,10,1,1,35.2941,35.2941,5.8824,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task107,1,0,0,0,0,0,0,0,,13,9,9,1,3,1,9,5.0,5,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task108,1,3,1,2,0,1,0,0,E302:1;E501:1;W293:1,27,17,20,1,6,1,20,10.0,10,1,1,17.6471,15.0,11.7647,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task109,1,0,0,0,0,0,0,0,,8,6,6,1,1,1,6,1.0,1,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task11,0,1,0,1,0,0,0,0,E501:1,32,26,25,1,6,1,25,15.0,15,1,1,3.8462,4.0,3.8462,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task110,1,0,0,0,0,0,0,0,,18,11,11,5,3,1,11,5.0,5,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task111,1,2,2,0,0,2,0,0,W293:2,16,14,14,0,2,1,14,6.0,6,1,1,14.2857,14.2857,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task112,1,5,5,0,0,5,0,0,W293:5,21,13,13,2,6,1,13,10.0,10,1,1,38.4615,38.4615,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task113,1,7,7,0,0,7,0,0,W293:7,28,17,19,1,8,1,19,5.0,5,1,1,41.1765,36.8421,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task114,1,1,0,1,0,0,0,0,F401:1,30,19,18,5,7,1,18,10.0,10,1,1,5.2632,5.5556,5.2632,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task115,1,5,5,0,0,5,0,0,W293:5,23,13,12,5,6,1,12,4.0,4,1,1,38.4615,41.6667,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task116,1,5,4,1,0,4,0,0,E302:1;W293:4,16,8,7,4,5,1,7,3.0,3,1,1,62.5,71.4286,12.5,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task117,1,0,0,0,0,0,0,0,,19,13,13,1,5,1,13,6.0,6,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task118,1,0,0,0,0,0,0,0,,19,16,16,4,2,1,16,1.0,1,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task119,1,3,3,0,0,3,0,0,W293:3,24,19,19,1,4,1,19,11.0,11,1,1,15.7895,15.7895,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task12,1,1,0,1,0,0,0,0,E302:1,34,22,22,5,7,1,22,5.0,5,1,1,4.5455,4.5455,4.5455,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task120,1,2,1,1,0,1,0,0,E302:1;W293:1,32,25,25,2,5,1,25,2.6,5,5,1,8.0,8.0,4.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task121,1,5,4,1,0,4,0,0,E302:1;W293:4,22,13,13,4,5,1,13,4.0,4,1,1,38.4615,38.4615,7.6923,1,0,1,0,0,0,1,0,B608:1,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task122,1,2,0,2,0,0,0,0,E302:2,21,13,12,5,4,1,12,2.5,4,2,1,15.3846,16.6667,15.3846,1,0,1,0,0,0,1,0,B608:1,0,0,0,0,,,,,,,
