task,desc_max,desc_nearest,desc_raw_max,solution_max,solution_nearest
task100,0.1132,HumanEval/85,0.1355,0.1864,mbpp/465
task101,0.0678,HumanEval/77,0.0663,0.171,mbpp/177
task102,0.1014,mbpp/780,0.0746,0.0645,mbpp/461
task103,0.325,mbpp/136,0.0568,0.069,HumanEval/22
task104,0.4348,mbpp/475,0.0806,0.106,HumanEval/25
task105,0.0968,HumanEval/135,0.1061,0.0958,HumanEval/14
task106,0.0886,mbpp/464,0.0857,0.1526,HumanEval/14
task107,0.3467,mbpp/82,0.0929,0.1642,mbpp/110
task108,0.3564,mbpp/969,0.0593,0.0792,mbpp/33
task109,0.3636,HumanEval/155,0.1496,0.4655,mbpp/686
task11,0.359,mbpp/15,0.0488,0.0887,HumanEval/28
task110,0.0904,HumanEval/103,0.0843,0.1865,mbpp/722
task111,0.3891,HumanEval/85,0.1353,0.1875,HumanEval/14
task112,0.1264,HumanEval/97,0.1219,0.1536,mbpp/67
task113,0.3852,HumanEval/156,0.1392,0.2229,mbpp/961
task114,0.0756,mbpp/124,0.0707,0.1551,mbpp/754
task115,0.3607,mbpp/263,0.101,0.1867,mbpp/939
task116,0.3467,mbpp/380,0.0976,0.1414,HumanEval/22
task117,0.0962,mbpp/816,0.1053,0.1834,mbpp/754
task118,0.1056,HumanEval/85,0.1022,0.1135,mbpp/277
task119,0.0608,HumanEval/34,0.0654,0.1056,mbpp/749
task12,0.0535,HumanEval/12,0.0526,0.0838,mbpp/585
task120,0.0632,mbpp/653,0.0621,0.068,HumanEval/37
task121,0.0547,HumanEval/132,0.0626,0.0752,mbpp/208
task122,0.0803,HumanEval/155,0.0772,0.1286,mbpp/16
task123,0.1018,HumanEval/85,0.0975,0.0643,mbpp/367
task124,0.32,mbpp/233,0.0603,0.0708,mbpp/222
task125,0.4054,mbpp/765,0.096,0.0803,HumanEval/22
task126,0.4375,mbpp/65,0.0796,0.0551,HumanEval/67
task127,0.0676,mbpp/278,0.0664,0.0669,HumanEval/3
task128,0.1154,HumanEval/37,0.1115,0.108,mbpp/612
task13,0.1875,mbpp/3,0.0722,0.1501,mbpp/748
task130,0.068,mbpp/484,0.0658,0.0831,mbpp/34
task131,0.0599,HumanEval/9,0.0696,0.0884,mbpp/321
task132,0.09,HumanEval/26,0.1037,0.1246,mbpp/778
task133,0.0972,HumanEval/98,0.0901,0.1152,HumanEval/11
task134,0.0574,mbpp/900,0.0558,0.081,mbpp/210
task135,0.0762,HumanEval/150,0.0745,0.0798,HumanEval/29
task136,0.0747,mbpp/188,0.061,0.1827,HumanEval/9
task137,0.0992,HumanEval/161,0.0976,0.0741,HumanEval/11
task138,0.0853,HumanEval/53,0.0861,0.1133,HumanEval/11
task139,0.0863,HumanEval/121,0.0844,0.1855,mbpp/754
task14,0.1074,mbpp/408,0.1039,0.09,HumanEval/14
task140,0.1286,HumanEval/114,0.0608,0.1281,HumanEval/8
task141,0.0872,mbpp/392,0.0849,0.0722,mbpp/243
task142,0.0915,HumanEval/131,0.0866,0.0998,mbpp/39
task143,0.1317,HumanEval/85,0.1225,0.0879,HumanEval/59
task144,0.106,HumanEval/35,0.1253,0.1094,mbpp/137
task145,0.0627,HumanEval/65,0.0616,0.0853,mbpp/179
task146,0.1286,HumanEval/18,0.1265,0.1458,mbpp/576
task147,0.0722,HumanEval/101,0.0752,0.1041,mbpp/597
task148,0.0404,mbpp/915,0.0397,0.1572,mbpp/913
task149,0.0728,HumanEval/103,0.0717,0.0496,mbpp/863
task15,0.3478,mbpp/402,0.0688,0.0676,mbpp/733
task150,0.0486,HumanEval/44,0.0479,0.0817,mbpp/952
task151,0.0578,HumanEval/20,0.0633,0.105,mbpp/568
task152,0.0517,HumanEval/6,0.0476,0.0678,mbpp/210
task153,0.0527,HumanEval/21,0.052,0.0809,mbpp/698
task154,0.05,HumanEval/7,0.0494,0.0701,HumanEval/14
task155,0.359,mbpp/370,0.0466,0.1155,mbpp/277
task156,0.3836,mbpp/959,0.0581,0.0867,mbpp/422
task157,0.2913,mbpp/471,0.0759,0.0804,mbpp/229
task158,0.4267,mbpp/65,0.0555,0.0965,mbpp/347
task159,0.3404,mbpp/969,0.0624,0.1276,mbpp/198
task160,0.3478,mbpp/103,0.0497,0.0407,HumanEval/125
task161,0.3404,mbpp/341,0.0344,0.0359,mbpp/885
task162,0.4337,mbpp/910,0.0604,0.0529,HumanEval/4
task163,0.2812,mbpp/65,0.0576,0.0631,mbpp/620
task164,0.3864,mbpp/952,0.0617,0.0677,HumanEval/101
task165,0.0539,HumanEval/6,0.0532,0.0592,mbpp/210
task166,0.051,HumanEval/22,0.0502,0.0879,HumanEval/22
task167,0.0547,HumanEval/46,0.0507,0.0556,HumanEval/158
task168,0.0432,HumanEval/103,0.0427,0.0487,mbpp/374
task169,0.0414,HumanEval/22,0.0429,0.0581,mbpp/913
task17,0.2821,mbpp/295,0.0931,0.1287,HumanEval/8
task170,0.0578,HumanEval/25,0.0535,0.0854,mbpp/635
task171,0.0528,HumanEval/18,0.0511,0.068,mbpp/737
task172,0.05,HumanEval/124,0.0495,0.0736,mbpp/913
task173,0.0455,HumanEval/25,0.057,0.0486,HumanEval/69
task174,0.0547,HumanEval/20,0.0541,0.0651,HumanEval/36
task175,0.0521,mbpp/513,0.0753,0.0664,mbpp/498
task176,0.0692,HumanEval/98,0.0682,0.0717,mbpp/87
task177,0.0507,HumanEval/21,0.0627,0.0567,mbpp/348
task178,0.0688,HumanEval/2,0.068,0.0801,mbpp/635
task179,0.0565,HumanEval/63,0.0534,0.0496,HumanEval/8
task180,0.3636,mbpp/10,0.0506,0.0615,mbpp/342
task181,0.3218,mbpp/370,0.0635,0.0404,HumanEval/157
task182,0.3457,mbpp/475,0.0534,0.0655,HumanEval/105
task183,0.2857,mbpp/103,0.0606,0.0571,mbpp/601
task184,0.2921,mbpp/51,0.0719,0.0754,mbpp/927
task185,0.068,HumanEval/29,0.0671,0.0749,HumanEval/14
task186,0.0622,HumanEval/6,0.0616,0.0642,HumanEval/140
task187,0.0812,HumanEval/106,0.0923,0.1017,HumanEval/14
task188,0.0837,HumanEval/6,0.0788,0.0606,mbpp/342
task189,0.0803,HumanEval/6,0.0795,0.0725,mbpp/64
