config,model,prompt,task,pre_audit_pass,post_audit_pass
gpt4omini-std,GPT-4o-mini,std,task091,True,True
gpt4omini-std,GPT-4o-mini,std,task092,False,False
gpt4omini-std,GPT-4o-mini,std,task093,True,False
gpt4omini-std,GPT-4o-mini,std,task094,True,False
gpt4omini-std,GPT-4o-mini,std,task095,True,True
gpt4omini-std,GPT-4o-mini,std,task096,True,True
gpt4omini-std,GPT-4o-mini,std,task097,True,True
gpt4omini-std,GPT-4o-mini,std,task098,True,True
gpt4omini-std,GPT-4o-mini,std,task099,True,True
gpt4omini-std,GPT-4o-mini,std,task10,True,False
gpt4omini-std,GPT-4o-mini,std,task100,True,True
gpt4omini-std,GPT-4o-mini,std,task101,True,True
gpt4omini-std,GPT-4o-mini,std,task102,True,True
gpt4omini-std,GPT-4o-mini,std,task103,False,True
gpt4omini-std,GPT-4o-mini,std,task104,True,True
gpt4omini-std,GPT-4o-mini,std,task105,False,False
gpt4omini-std,GPT-4o-mini,std,task106,True,True
gpt4omini-std,GPT-4o-mini,std,task107,True,True
gpt4omini-std,GPT-4o-mini,std,task108,True,True
gpt4omini-std,GPT-4o-mini,std,task109,True,True
gpt4omini-std,GPT-4o-mini,std,task11,False,False
gpt4omini-std,GPT-4o-mini,std,task110,True,True
gpt4omini-std,GPT-4o-mini,std,task111,True,True
gpt4omini-std,GPT-4o-mini,std,task112,True,True
gpt4omini-std,GPT-4o-mini,std,task113,True,True
gpt4omini-std,GPT-4o-mini,std,task114,True,True
gpt4omini-std,GPT-4o-mini,std,task115,True,True
gpt4omini-std,GPT-4o-mini,std,task116,True,True
gpt4omini-std,GPT-4o-mini,std,task117,True,True
gpt4omini-std,GPT-4o-mini,std,task118,True,True
gpt4omini-std,GPT-4o-mini,std,task119,True,True
gpt4omini-std,GPT-4o-mini,std,task12,False,True
gpt4omini-std,GPT-4o-mini,std,task120,True,True
gpt4omini-std,GPT-4o-mini,std,task121,True,True
gpt4omini-std,GPT-4o-mini,std,task122,True,True
gpt4omini-std,GPT-4o-mini,std,task123,False,False
gpt4omini-std,GPT-4o-mini,std,task124,True,True
gpt4omini-std,GPT-4o-mini,std,task125,True,False
gpt4omini-std,GPT-4o-mini,std,task126,False,False
gpt4omini-std,GPT-4o-mini,std,task127,True,True
gpt4omini-std,GPT-4o-mini,std,task128,True,True
gpt4omini-std,GPT-4o-mini,std,task13,True,True
gpt4omini-std,GPT-4o-mini,std,task130,True,False
gpt4omini-std,GPT-4o-mini,std,task131,True,False
gpt4omini-std,GPT-4o-mini,std,task132,True,False
gpt4omini-std,GPT-4o-mini,std,task133,True,True
gpt4omini-std,GPT-4o-mini,std,task134,False,False
gpt4omini-std,GPT-4o-mini,std,task135,False,False
gpt4omini-std,GPT-4o-mini,std,task136,True,True
gpt4omini-std,GPT-4o-mini,std,task137,False,False
gpt4omini-std,GPT-4o-mini,std,task138,True,True
gpt4omini-std,GPT-4o-mini,std,task139,True,True
gpt4omini-std,GPT-4o-mini,std,task14,False,False
gpt4omini-std,GPT-4o-mini,std,task15,False,False
gpt4omini-std,GPT-4o-mini,std,task17,False,True
gpt4omini-sec,GPT-4o-mini,sec,task018,True,True
gpt4omini-sec,GPT-4o-mini,sec,task019,True,False
gpt4omini-sec,GPT-4o-mini,sec,task02,True,True
gpt4omini-sec,GPT-4o-mini,sec,task020,True,True
gpt4omini-sec,GPT-4o-mini,sec,task021,True,True
gpt4omini-sec,GPT-4o-mini,sec,task022,True,True
gpt4omini-sec,GPT-4o-mini,sec,task023,True,False
gpt4omini-sec,GPT-4o-mini,sec,task024,True,False
gpt4omini-sec,GPT-4o-mini,sec,task025,True,True
gpt4omini-sec,GPT-4o-mini,sec,task026,False,False
gpt4omini-sec,GPT-4o-mini,sec,task027,True,True
gpt4omini-sec,GPT-4o-mini,sec,task028,True,True
gpt4omini-sec,GPT-4o-mini,sec,task029,True,True
gpt4omini-sec,GPT-4o-mini,sec,task03,True,True
gpt4omini-sec,GPT-4o-mini,sec,task030,True,False
gpt4omini-sec,GPT-4o-mini,sec,task031,True,True
gpt4omini-sec,GPT-4o-mini,sec,task032,True,True
gpt4omini-sec,GPT-4o-mini,sec,task033,True,True
gpt4omini-sec,GPT-4o-mini,sec,task034,True,True
gpt4omini-sec,GPT-4o-mini,sec,task035,False,False
gpt4omini-sec,GPT-4o-mini,sec,task036,False,False
gpt4omini-sec,GPT-4o-mini,sec,task037,True,True
gpt4omini-sec,GPT-4o-mini,sec,task038,True,True
gpt4omini-sec,GPT-4o-mini,sec,task039,True,False
gpt4omini-sec,GPT-4o-mini,sec,task04,True,True
gpt4omini-sec,GPT-4o-mini,sec,task040,True,True
gpt4omini-sec,GPT-4o-mini,sec,task041,True,False
gpt4omini-sec,GPT-4o-mini,sec,task042,True,True
gpt4omini-sec,GPT-4o-mini,sec,task043,True,True
gpt4omini-sec,GPT-4o-mini,sec,task044,False,False
gpt4omini-sec,GPT-4o-mini,sec,task045,True,True
gpt4omini-sec,GPT-4o-mini,sec,task046,True,True
gpt4omini-sec,GPT-4o-mini,sec,task047,False,False
gpt4omini-sec,GPT-4o-mini,sec,task048,True,True
gpt4omini-sec,GPT-4o-mini,sec,task049,True,False
gpt4omini-sec,GPT-4o-mini,sec,task05,True,True
gpt4omini-sec,GPT-4o-mini,sec,task050,True,True
gpt4omini-sec,GPT-4o-mini,sec,task051,False,False
gpt4omini-sec,GPT-4o-mini,sec,task052,True,True
gpt4omini-sec,GPT-4o-mini,sec,task053,True,True
gpt4omini-sec,GPT-4o-mini,sec,task054,True,True
gpt4omini-sec,GPT-4o-mini,sec,task055,True,True
gpt4omini-sec,GPT-4o-mini,sec,task056,True,True
gpt4omini-sec,GPT-4o-mini,sec,task057,True,True
gpt4omini-sec,GPT-4o-mini,sec,task058,True,True
gpt4omini-sec,GPT-4o-mini,sec,task059,False,False
gpt4omini-sec,GPT-4o-mini,sec,task06,True,True
gpt4omini-sec,GPT-4o-mini,sec,task060,True,True
gpt4omini-sec,GPT-4o-mini,sec,task061,False,False
gpt4omini-sec,GPT-4o-mini,sec,task062,True,True
gpt4omini-sec,GPT-4o-mini,sec,task063,False,True
gpt4omini-sec,GPT-4o-mini,sec,task064,True,True
gpt4omini-sec,GPT-4o-mini,sec,task065,True,True
gpt4omini-sec,GPT-4o-mini,sec,task066,True,True
gpt4omini-sec,GPT-4o-mini,sec,task067,True,True
gpt4omini-sec,GPT-4o-mini,sec,task068,True,True
gpt4omini-sec,GPT-4o-mini,sec,task069,True,True
gpt4omini-sec,GPT-4o-mini,sec,task07,True,False
gpt4omini-sec,GPT-4o-mini,sec,task070,False,False
gpt4omini-sec,GPT-4o-mini,sec,task071,True,True
gpt4omini-sec,GPT-4o-mini,sec,task072,True,True
gpt4omini-sec,GPT-4o-mini,sec,task073,False,False
gpt4omini-sec,GPT-4o-mini,sec,task074,False,False
gpt4omini-sec,GPT-4o-mini,sec,task075,True,True
gpt4omini-sec,GPT-4o-mini,sec,task077,True,True
gpt4omini-sec,GPT-4o-mini,sec,task078,True,True
gpt4omini-sec,GPT-4o-mini,sec,task079,True,True
gpt4omini-sec,GPT-4o-mini,sec,task08,False,False
gpt4omini-sec,GPT-4o-mini,sec,task080,False,False
gpt4omini-sec,GPT-4o-mini,sec,task081,True,True
gpt4omini-sec,GPT-4o-mini,sec,task082,True,False
gpt4omini-sec,GPT-4o-mini,sec,task083,True,True
gpt4omini-sec,GPT-4o-mini,sec,task084,True,True
gpt4omini-sec,GPT-4o-mini,sec,task085,True,True
gpt4omini-sec,GPT-4o-mini,sec,task086,True,False
gpt4omini-sec,GPT-4o-mini,sec,task087,True,True
gpt4omini-sec,GPT-4o-mini,sec,task088,True,True
gpt4omini-sec,GPT-4o-mini,sec,task089,True,True
gpt4omini-sec,GPT-4o-mini,sec,task09,True,False
gpt4omini-sec,GPT-4o-mini,sec,task090,True,True
gpt4omini-sec,GPT-4o-mini,sec,task091,True,True
gpt4omini-sec,GPT-4o-mini,sec,task092,False,False
gpt4omini-sec,GPT-4o-mini,sec,task093,True,True
gpt4omini-sec,GPT-4o-mini,sec,task094,True,True
gpt4omini-sec,GPT-4o-mini,sec,task095,True,True
gpt4omini-sec,GPT-4o-mini,sec,task096,True,True
gpt4omini-sec,GPT-4o-mini,sec,task097,True,True
gpt4omini-sec,GPT-4o-mini,sec,task098,True,True
gpt4omini-sec,GPT-4o-mini,sec,task099,True,False
gpt4omini-sec,GPT-4o-mini,sec,task10,True,False
gpt4omini-sec,GPT-4o-mini,sec,task100,True,True
gpt4omini-sec,GPT-4o-mini,sec,task101,True,True
gpt4omini-sec,GPT-4o-mini,sec,task102,True,True
gpt4omini-sec,GPT-4o-mini,sec,task103,False,True
gpt4omini-sec,GPT-4o-mini,sec,task104,True,True
gpt4omini-sec,GPT-4o-mini,sec,task105,False,False
gpt4omini-sec,GPT-4o-mini,sec,task106,True,True
gpt4omini-sec,GPT-4o-mini,sec,task107,True,True
gpt4omini-sec,GPT-4o-mini,sec,task108,True,False
gpt4omini-sec,GPT-4o-mini,sec,task109,True,True
gpt4omini-sec,GPT-4o-mini,sec,task11,False,False
gpt4omini-sec,GPT-4o-mini,sec,task110,True,True
gpt4omini-sec,GPT-4o-mini,sec,task111,True,True
gpt4omini-sec,GPT-4o-mini,sec,task112,True,True
gpt4omini-sec,GPT-4o-mini,sec,task113,True,True
gpt4omini-sec,GPT-4o-mini,sec,task114,True,True
gpt4omini-sec,GPT-4o-mini,sec,task115,True,True
gpt4omini-sec,GPT-4o-mini,sec,task116,True,True
gpt4omini-sec,GPT-4o-mini,sec,task117,True,True
gpt4omini-sec,GPT-4o-mini,sec,task118,True,True
gpt4omini-sec,GPT-4o-mini,sec,task119,False,False
gpt4omini-sec,GPT-4o-mini,sec,task12,False,True
gpt4omini-sec,GPT-4o-mini,sec,task120,True,False
gpt4omini-sec,GPT-4o-mini,sec,task121,True,True
gpt4omini-sec,GPT-4o-mini,sec,task122,True,True
gpt4omini-sec,GPT-4o-mini,sec,task123,True,True
gpt4omini-sec,GPT-4o-mini,sec,task124,True,True
gpt4omini-sec,GPT-4o-mini,sec,task125,True,False
gpt4omini-sec,GPT-4o-mini,sec,task126,True,False
gpt4omini-sec,GPT-4o-mini,sec,task127,True,True
gpt4omini-sec,GPT-4o-mini,sec,task128,True,True
gpt4omini-sec,GPT-4o-mini,sec,task13,True,True
gpt4omini-sec,GPT-4o-mini,sec,task130,False,False
gpt4omini-sec,GPT-4o-mini,sec,task131,True,True
gpt4omini-sec,GPT-4o-mini,sec,task132,True,True
gpt4omini-sec,GPT-4o-mini,sec,task133,True,True
gpt4omini-sec,GPT-4o-mini,sec,task134,True,True
gpt4omini-sec,GPT-4o-mini,sec,task135,False,False
gpt4omini-sec,GPT-4o-mini,sec,task136,True,True
gpt4omini-sec,GPT-4o-mini,sec,task137,False,False
gpt4omini-sec,GPT-4o-mini,sec,task138,True,True
gpt4omini-sec,GPT-4o-mini,sec,task139,True,True
gpt4omini-sec,GPT-4o-mini,sec,task14,False,False
gpt4omini-sec,GPT-4o-mini,sec,task15,False,False
gpt4omini-sec,GPT-4o-mini,sec,task17,False,True
gpt4o-std,GPT-4o,std,task018,True,True
gpt4o-std,GPT-4o,std,task019,True,True
gpt4o-std,GPT-4o,std,task02,True,True
gpt4o-std,GPT-4o,std,task020,True,True
gpt4o-std,GPT-4o,std,task021,True,True
gpt4o-std,GPT-4o,std,task022,True,True
gpt4o-std,GPT-4o,std,task023,True,True
gpt4o-std,GPT-4o,std,task024,True,True
gpt4o-std,GPT-4o,std,task025,True,True
gpt4o-std,GPT-4o,std,task026,True,True
gpt4o-std,GPT-4o,std,task027,True,True
gpt4o-std,GPT-4o,std,task028,True,True
gpt4o-std,GPT-4o,std,task029,True,True
gpt4o-std,GPT-4o,std,task03,True,True
gpt4o-std,GPT-4o,std,task030,True,False
gpt4o-std,GPT-4o,std,task031,True,True
gpt4o-std,GPT-4o,std,task032,True,True
gpt4o-std,GPT-4o,std,task033,True,True
gpt4o-std,GPT-4o,std,task034,True,True
gpt4o-std,GPT-4o,std,task035,True,True
gpt4o-std,GPT-4o,std,task036,True,True
gpt4o-std,GPT-4o,std,task037,True,True
gpt4o-std,GPT-4o,std,task038,True,True
gpt4o-std,GPT-4o,std,task039,True,True
gpt4o-std,GPT-4o,std,task04,True,True
gpt4o-std,GPT-4o,std,task040,True,True
gpt4o-std,GPT-4o,std,task041,True,False
gpt4o-std,GPT-4o,std,task042,True,True
gpt4o-std,GPT-4o,std,task043,True,True
gpt4o-std,GPT-4o,std,task044,False,False
gpt4o-std,GPT-4o,std,task045,True,True
gpt4o-std,GPT-4o,std,task046,True,True
gpt4o-std,GPT-4o,std,task047,True,True
gpt4o-std,GPT-4o,std,task048,True,True
gpt4o-std,GPT-4o,std,task049,True,True
gpt4o-std,GPT-4o,std,task05,True,True
gpt4o-std,GPT-4o,std,task050,True,True
gpt4o-std,GPT-4o,std,task051,True,True
gpt4o-std,GPT-4o,std,task052,True,False
gpt4o-std,GPT-4o,std,task053,True,True
gpt4o-std,GPT-4o,std,task054,True,True
gpt4o-std,GPT-4o,std,task055,True,True
gpt4o-std,GPT-4o,std,task056,True,True
gpt4o-std,GPT-4o,std,task057,True,True
gpt4o-std,GPT-4o,std,task058,True,True
gpt4o-std,GPT-4o,std,task059,False,False
gpt4o-std,GPT-4o,std,task06,True,True
gpt4o-std,GPT-4o,std,task060,True,True
gpt4o-std,GPT-4o,std,task061,False,True
gpt4o-std,GPT-4o,std,task062,True,True
gpt4o-std,GPT-4o,std,task063,False,True
gpt4o-std,GPT-4o,std,task064,True,True
gpt4o-std,GPT-4o,std,task065,True,True
gpt4o-std,GPT-4o,std,task066,True,True
gpt4o-std,GPT-4o,std,task067,True,True
gpt4o-std,GPT-4o,std,task068,True,True
gpt4o-std,GPT-4o,std,task069,True,True
gpt4o-std,GPT-4o,std,task07,True,True
gpt4o-std,GPT-4o,std,task070,False,True
gpt4o-std,GPT-4o,std,task071,True,True
gpt4o-std,GPT-4o,std,task072,True,True
gpt4o-std,GPT-4o,std,task073,True,True
gpt4o-std,GPT-4o,std,task074,False,False
gpt4o-std,GPT-4o,std,task075,True,True
gpt4o-std,GPT-4o,std,task077,False,False
gpt4o-std,GPT-4o,std,task078,True,True
gpt4o-std,GPT-4o,std,task079,True,True
gpt4o-std,GPT-4o,std,task08,False,False
gpt4o-std,GPT-4o,std,task080,False,False
gpt4o-std,GPT-4o,std,task081,True,True
gpt4o-std,GPT-4o,std,task082,True,False
gpt4o-std,GPT-4o,std,task083,False,False
gpt4o-std,GPT-4o,std,task084,True,True
gpt4o-std,GPT-4o,std,task085,True,True
gpt4o-std,GPT-4o,std,task086,True,True
gpt4o-std,GPT-4o,std,task087,True,True
gpt4o-std,GPT-4o,std,task088,True,True
gpt4o-std,GPT-4o,std,task089,True,True
gpt4o-std,GPT-4o,std,task09,True,True
gpt4o-std,GPT-4o,std,task090,True,True
gpt4o-std,GPT-4o,std,task091,True,True
gpt4o-std,GPT-4o,std,task092,False,False
gpt4o-std,GPT-4o,std,task093,True,False
gpt4o-std,GPT-4o,std,task094,True,True
gpt4o-std,GPT-4o,std,task095,True,True
gpt4o-std,GPT-4o,std,task096,True,True
gpt4o-std,GPT-4o,std,task097,True,True
gpt4o-std,GPT-4o,std,task098,True,True
gpt4o-std,GPT-4o,std,task099,True,True
gpt4o-std,GPT-4o,std,task10,True,False
gpt4o-std,GPT-4o,std,task100,True,True
gpt4o-std,GPT-4o,std,task101,True,True
gpt4o-std,GPT-4o,std,task102,True,True
gpt4o-std,GPT-4o,std,task103,False,True
gpt4o-std,GPT-4o,std,task104,True,True
gpt4o-std,GPT-4o,std,task105,False,False
gpt4o-std,GPT-4o,std,task106,True,True
gpt4o-std,GPT-4o,std,task107,True,True
gpt4o-std,GPT-4o,std,task108,True,True
gpt4o-std,GPT-4o,std,task109,True,True
gpt4o-std,GPT-4o,std,task11,True,True
gpt4o-std,GPT-4o,std,task110,True,True
gpt4o-std,GPT-4o,std,task111,True,True
gpt4o-std,GPT-4o,std,task112,True,True
gpt4o-std,GPT-4o,std,task113,True,True
gpt4o-std,GPT-4o,std,task114,True,True
gpt4o-std,GPT-4o,std,task115,True,True
gpt4o-std,GPT-4o,std,task116,True,True
gpt4o-std,GPT-4o,std,task117,True,True
gpt4o-std,GPT-4o,std,task118,True,True
gpt4o-std,GPT-4o,std,task119,True,True
gpt4o-std,GPT-4o,std,task12,False,True
gpt4o-std,GPT-4o,std,task120,True,True
gpt4o-std,GPT-4o,std,task121,True,True
gpt4o-std,GPT-4o,std,task122,True,True
gpt4o-std,GPT-4o,std,task123,True,True
gpt4o-std,GPT-4o,std,task124,True,True
gpt4o-std,GPT-4o,std,task125,True,True
gpt4o-std,GPT-4o,std,task126,True,True
gpt4o-std,GPT-4o,std,task127,True,True
gpt4o-std,GPT-4o,std,task128,True,True
gpt4o-std,GPT-4o,std,task13,True,True
gpt4o-std,GPT-4o,std,task130,False,False
gpt4o-std,GPT-4o,std,task131,True,True
gpt4o-std,GPT-4o,std,task132,True,True
gpt4o-std,GPT-4o,std,task133,True,True
gpt4o-std,GPT-4o,std,task134,True,True
gpt4o-std,GPT-4o,std,task135,True,True
gpt4o-std,GPT-4o,std,task136,True,True
gpt4o-std,GPT-4o,std,task137,False,False
gpt4o-std,GPT-4o,std,task138,True,True
gpt4o-std,GPT-4o,std,task139,True,True
gpt4o-std,GPT-4o,std,task14,False,False
gpt4o-std,GPT-4o,std,task15,True,True
gpt4o-std,GPT-4o,std,task17,False,True
gpt4o-sec,GPT-4o,sec,task018,True,True
gpt4o-sec,GPT-4o,sec,task019,True,False
gpt4o-sec,GPT-4o,sec,task02,True,True
gpt4o-sec,GPT-4o,sec,task020,True,True
gpt4o-sec,GPT-4o,sec,task021,True,True
gpt4o-sec,GPT-4o,sec,task022,True,True
gpt4o-sec,GPT-4o,sec,task023,True,False
gpt4o-sec,GPT-4o,sec,task024,True,False
gpt4o-sec,GPT-4o,sec,task025,True,True
gpt4o-sec,GPT-4o,sec,task026,True,True
gpt4o-sec,GPT-4o,sec,task027,True,True
gpt4o-sec,GPT-4o,sec,task028,True,True
gpt4o-sec,GPT-4o,sec,task029,True,True
gpt4o-sec,GPT-4o,sec,task03,True,True
gpt4o-sec,GPT-4o,sec,task030,True,False
gpt4o-sec,GPT-4o,sec,task031,True,True
gpt4o-sec,GPT-4o,sec,task032,True,True
gpt4o-sec,GPT-4o,sec,task033,True,True
gpt4o-sec,GPT-4o,sec,task034,True,True
gpt4o-sec,GPT-4o,sec,task035,True,True
gpt4o-sec,GPT-4o,sec,task036,True,True
gpt4o-sec,GPT-4o,sec,task037,True,True
gpt4o-sec,GPT-4o,sec,task038,True,True
gpt4o-sec,GPT-4o,sec,task039,True,True
gpt4o-sec,GPT-4o,sec,task04,True,True
gpt4o-sec,GPT-4o,sec,task040,True,True
gpt4o-sec,GPT-4o,sec,task041,True,True
gpt4o-sec,GPT-4o,sec,task042,True,True
gpt4o-sec,GPT-4o,sec,task043,True,True
gpt4o-sec,GPT-4o,sec,task044,True,True
gpt4o-sec,GPT-4o,sec,task045,True,True
gpt4o-sec,GPT-4o,sec,task046,True,True
gpt4o-sec,GPT-4o,sec,task047,True,True
gpt4o-sec,GPT-4o,sec,task048,True,True
gpt4o-sec,GPT-4o,sec,task049,True,True
gpt4o-sec,GPT-4o,sec,task05,True,True
gpt4o-sec,GPT-4o,sec,task050,True,True
gpt4o-sec,GPT-4o,sec,task051,True,True
gpt4o-sec,GPT-4o,sec,task052,True,True
gpt4o-sec,GPT-4o,sec,task053,True,True
gpt4o-sec,GPT-4o,sec,task054,True,True
gpt4o-sec,GPT-4o,sec,task055,True,True
gpt4o-sec,GPT-4o,sec,task056,True,True
gpt4o-sec,GPT-4o,sec,task057,True,True
gpt4o-sec,GPT-4o,sec,task058,True,True
gpt4o-sec,GPT-4o,sec,task059,False,False
gpt4o-sec,GPT-4o,sec,task06,True,True
gpt4o-sec,GPT-4o,sec,task060,True,True
gpt4o-sec,GPT-4o,sec,task061,False,True
gpt4o-sec,GPT-4o,sec,task062,True,True
gpt4o-sec,GPT-4o,sec,task063,False,True
gpt4o-sec,GPT-4o,sec,task064,True,True
gpt4o-sec,GPT-4o,sec,task065,True,True
gpt4o-sec,GPT-4o,sec,task066,True,True
gpt4o-sec,GPT-4o,sec,task067,True,True
gpt4o-sec,GPT-4o,sec,task068,True,False
gpt4o-sec,GPT-4o,sec,task069,True,True
gpt4o-sec,GPT-4o,sec,task07,True,True
gpt4o-sec,GPT-4o,sec,task070,False,True
gpt4o-sec,GPT-4o,sec,task071,True,True
gpt4o-sec,GPT-4o,sec,task072,True,True
gpt4o-sec,GPT-4o,sec,task073,True,True
gpt4o-sec,GPT-4o,sec,task074,False,False
gpt4o-sec,GPT-4o,sec,task075,True,True
gpt4o-sec,GPT-4o,sec,task077,False,False
gpt4o-sec,GPT-4o,sec,task078,True,True
gpt4o-sec,GPT-4o,sec,task079,True,True
gpt4o-sec,GPT-4o,sec,task08,False,False
gpt4o-sec,GPT-4o,sec,task080,True,True
gpt4o-sec,GPT-4o,sec,task081,True,True
gpt4o-sec,GPT-4o,sec,task082,True,False
gpt4o-sec,GPT-4o,sec,task083,False,False
gpt4o-sec,GPT-4o,sec,task084,True,True
gpt4o-sec,GPT-4o,sec,task085,True,True
gpt4o-sec,GPT-4o,sec,task086,True,True
gpt4o-sec,GPT-4o,sec,task087,True,True
gpt4o-sec,GPT-4o,sec,task088,True,True
gpt4o-sec,GPT-4o,sec,task089,True,True
gpt4o-sec,GPT-4o,sec,task09,True,False
gpt4o-sec,GPT-4o,sec,task090,True,True
gpt4o-sec,GPT-4o,sec,task091,True,False
gpt4o-sec,GPT-4o,sec,task092,False,False
gpt4o-sec,GPT-4o,sec,task093,True,True
gpt4o-sec,GPT-4o,sec,task094,True,True
gpt4o-sec,GPT-4o,sec,task095,True,True
gpt4o-sec,GPT-4o,sec,task096,True,True
gpt4o-sec,GPT-4o,sec,task097,True,True
gpt4o-sec,GPT-4o,sec,task098,True,True
gpt4o-sec,GPT-4o,sec,task099,True,True
gpt4o-sec,GPT-4o,sec,task10,True,False
gpt4o-sec,GPT-4o,sec,task100,True,True
gpt4o-sec,GPT-4o,sec,task101,True,True
gpt4o-sec,GPT-4o,sec,task102,True,True
gpt4o-sec,GPT-4o,sec,task103,False,True
gpt4o-sec,GPT-4o,sec,task104,True,True
gpt4o-sec,GPT-4o,sec,task105,False,False
gpt4o-sec,GPT-4o,sec,task106,True,True
gpt4o-sec,GPT-4o,sec,task107,True,True
gpt4o-sec,GPT-4o,sec,task108,True,True
gpt4o-sec,GPT-4o,sec,task109,True,True
gpt4o-sec,GPT-4o,sec,task11,True,True
gpt4o-sec,GPT-4o,sec,task110,True,True
gpt4o-sec,GPT-4o,sec,task111,True,True
gpt4o-sec,GPT-4o,sec,task112,True,True
gpt4o-sec,GPT-4o,sec,task113,True,True
gpt4o-sec,GPT-4o,sec,task114,True,True
gpt4o-sec,GPT-4o,sec,task115,True,True
gpt4o-sec,GPT-4o,sec,task116,True,True
gpt4o-sec,GPT-4o,sec,task117,True,True
gpt4o-sec,GPT-4o,sec,task118,True,True
